#{"t_start": 1771510861.7328315, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
195.0,2737,313.94486
95.0,2025,314.895569
95.0,1177,315.456469
170.0,2001,316.422872
355.0,3423,318.113562
255.0,2709,319.478379
245.0,2555,320.768611
200.0,1855,321.726972
155.0,2089,322.811972
405.0,4175,324.991892
120.0,2069,326.073951
170.0,1997,327.474043
150.0,2357,328.826725
470.0,3495,330.460328
265.0,2853,331.824124
110.0,1509,332.558379
80.0,1533,333.308619
125.0,1997,334.300685
105.0,1813,335.216137
150.0,2381,336.432628
175.0,1761,337.341345
175.0,2411,338.593612
265.0,3321,340.327424
145.0,1645,341.32668
440.0,2433,342.692059
270.0,3327,344.24229
300.0,3337,345.839485
200.0,2495,347.067169
155.0,1677,347.899259
295.0,2505,349.159963
170.0,4243,351.332652
70.0,2009,352.379361
350.0,3423,354.173549
125.0,2045,355.319424
255.0,2403,356.792137
155.0,1767,357.61266
235.0,2897,359.019798
210.0,3009,360.550501
220.0,2465,361.812988
160.0,1935,362.796414
130.0,1663,368.271648
225.0,2343,369.799088
395.0,3355,371.702072
430.0,2291,372.831729
105.0,1491,373.578144
55.0,1583,374.364869
470.0,3658,376.200576
510.0,5505,379.06885
210.0,2585,380.541576
395.0,2967,382.371416
310.0,2617,383.641917
245.0,2471,384.954339
120.0,1695,385.783648
235.0,2359,386.979321
180.0,1941,387.978768
575.0,3633,389.897964
130.0,1819,391.078662
190.0,2091,392.416504
115.0,1183,392.995264
265.0,2423,394.226658
260.0,3101,395.801023
120.0,3627,397.616701
150.0,2031,398.653816
100.0,1891,399.651493
195.0,2049,400.725928
50.0,1175,401.344671
140.0,1927,402.516409
175.0,2413,403.99462
160.0,2109,405.002152
430.0,4651,407.260873
190.0,2093,408.322531
105.0,1919,409.31309
120.0,2101,410.397314
145.0,1973,411.425918
375.0,2957,412.969388
225.0,3051,414.897451
50.0,1211,415.585452
240.0,2693,416.853214
140.0,2091,417.847769
360.0,3365,419.505464
185.0,3949,421.490912
205.0,2391,426.5122
115.0,1791,427.678439
80.0,1217,428.376154
200.0,3243,429.986295
335.0,3205,431.871326
775.0,5819,434.917674
260.0,2751,436.345734
250.0,2459,437.662218
95.0,1071,438.316302
270.0,2381,440.135942
200.0,2191,441.428215
225.0,2177,442.463638
215.0,2075,443.649793
110.0,1991,444.788763
120.0,1883,445.890695
115.0,1367,446.741863
125.0,1983,448.228936
220.0,1675,449.454619
355.0,3173,451.727652
320.0,3905,454.410567
290.0,3047,456.479295
235.0,1711,457.670139
315.0,4101,459.704286
295.0,2521,460.946401
165.0,1753,461.830548
120.0,2023,462.85205
155.0,1683,463.71566
230.0,2375,465.119725
320.0,2835,467.042597
305.0,2457,468.456084
245.0,2469,469.708878
370.0,2745,471.235553
180.0,2577,472.748619
230.0,2357,474.031411
420.0,3795,476.05385
110.0,2151,477.340227
95.0,1167,478.167817
200.0,2931,480.099172
180.0,1617,480.936953
210.0,2601,482.27742
105.0,1879,483.215349
210.0,2507,484.479258
180.0,2445,490.300546
155.0,1971,491.465923
155.0,1945,492.387065
80.0,1113,492.913473
255.0,3025,494.370457
395.0,3349,496.072017
240.0,4225,498.282177
105.0,1201,498.895687
220.0,2415,500.162967
425.0,2437,501.825297
360.0,3187,503.413787
215.0,2601,504.710704
210.0,2441,505.932418
220.0,3089,507.534159
515.0,3627,509.409119
155.0,1909,510.567266
160.0,2431,512.011165
230.0,2371,513.125308
445.0,3415,514.777863
420.0,3111,516.345195
290.0,3311,518.026017
300.0,2885,519.506672
275.0,3441,521.360169
295.0,4131,523.755283
65.0,1111,524.270527
290.0,3051,525.737998
105.0,1463,526.46472
215.0,2609,527.77632
420.0,4511,530.163955
535.0,3242,531.906152
115.0,1983,533.238252
220.0,3111,534.766249
210.0,2885,536.272778
185.0,2931,537.706175
